pgn,freq
e4=e5=Qh5=g6=Qxe5+=Be7=Qxh8,20
f4=e6=g4=Bc5=a3=Qh4#,14
e4=e5=Bc4=Nc6=Qh5=Nf6=Qxf7#,11
e4=e5=Qh5=Nc6=Bc4=Nf6=Qxf7#,10
e4=e5=Qh5=d6=Bc4=Nf6=Qxf7#,10
e4=e5=Qh5=g6=Qxe5+=Ne7=Qxh8,9
e4=e5=Qh5=g6=Qxe5+=Qe7=Qxh8,7
e4=e5=Bc4=Nc6=Qf3=Bc5=Qxf7#,6
e4=e5=Bc4=a6=Qf3=b5=Qxf7#,6
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=Nd4=Qxf7#,5
e4=e5=Bc4=Nf6=Qh5=Nxh5,5
e4=e5=Bc4=Bc5=Qh5=Nf6=Qxf7#,5
e4=e5=Bc4=Nc6=Qf3=Nd4=Qxf7#,5
e4=e5=Bc4=d6=Qf3=Nc6=Qxf7#,4
e4=e5=Bc4=Bc5=Qh5=Nc6=Qxf7#,4
e4=e5=Qh5=g6=Qxe5+=Be7=Qxh8=Bf6=Qxg8+=Ke7=Qxh7,4
e4=Nf6=Bc4=Nxe4=Qf3=Nc5=Qxf7#,4
e4=e5=Bc4=Nc6=Qf3=d6=Qxf7#,4
e4=e5=Nf3=Bc5=Nxe5=Qf6=Nc4=Qxf2#,4
e4=e5=Qh5=Nf6=Bc4=Nxh5,4
e4=e5=Qf3=Nc6=Bc4=Nd4=Qxf7#,3
e4=e5=Qh5=Nc6=Bc4=Bc5=Qxf7#,3
Nc3=e5=e4=Bc5=d3=Qf6=Bd2=Qxf2#,3
e4=e5=Bc4=Nc6=Qh5=g6=Qf3=Nd4=Qxf7#,3
e4=e5=Qf3=Nc6=Bc4=Nb4=Qxf7#,3
e4=e5=Nf3=Nc6=Bc4=Bc5=Ng5=Qxg5,3
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qf3=d5=Qxf7#,3
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=Bc5=Qxf7#,3
e3=e5=Bc4=d6=Qf3=Nc6=Qxf7#,3
f3=e5=g4=Bc5=a3=Qh4#,3
e3=e5=Qh5=g6=Qxe5+=Qe7=Qxh8,3
e4=e5=d4=exd4=Qxd4=Nc6=Nf3=Nxd4,3
e3=e5=Qh5=Nc6=Bc4=Nf6=Qxf7#,3
e4=e5=Bc4=d6=Qh5=Nf6=Qxf7#,3
e4=e5=f4=exf4=Nf3=Nf6,3
e3=e5=e4=Bc5=c3=Qf6=b4=Qxf2#,3
e4=e5=Nf3=Bc5=g3=Qf6,3
e4=e5=Qh5=d6=Bc4=g6=Qf3=Nc6=Qxf7#,3
d4=d5=Nf3=Bg4=g3=Bxf3=Bg2=Bxg2,3
e4=e5=Bc4=Nc6=Qf3=b6=Qxf7#,2
e4=e5=Bc4=Nc6=Qf3=Be7=Qxf7#,2
e4=e5=Bc4=d6=Qh5=g6=Qf3=h5=Qxf7#,2
e4=e5=Qh5=d6=Bc4=g6=Qf3=c6=Qxf7#,2
e4=e5=Qh5=g6=Qxe5+=Be7=Qxh8=Bf6=Qxg8+=Ke7,2
e4=e5=Qf3=Nc6=Bc4=d6=Qxf7#,2
e4=e5=Ke2=Qh4=h3=Qxe4#,2
e3=e5=Qf3=Nc6=Bc4=g6=Qxf7#,2
e4=e5=Nf3=Bc5=Nxe5=Qh4=Nc3=Qxf2#,2
e4=e5=Nf3=Qf6=Nc3=Bc5,2
e4=e5=d4=Qh4=g3=Qxe4+=Ne2=Qxh1,2
e4=e5=Nf3=Nc6=Nc3=Bb4,2
e4=e5=Nf3=Bc5=Nxe5=Qh4=Bc4=Qxf2#,2
e4=d5=Qf3=d4=Bc4=e5=Qxf7#,2
f3=e5=g4=Bc5=a4=Qh4#,2
e3=e5=Qh5=d6=Bc4=Nf6=Qxf7#,2
d4=d5=Nd2=Nc6=e4=Nxd4,2
e4=e5=Bc4=c6=Qh5=Nf6=Qxf7#,2
d4=c5=c4=Qa5+=Bd2=cxd4=Bxa5,2
e4=e5=Bc4=d6=Qf3=c5=Qxf7#,2
e4=c5=d4=d6=dxc5=dxc5=Qxd8+,2
e4=c5=Bc4=Nc6=Qh5=Nf6=Qxf7#,2
f3=e5=g4=Nc6=a3=Qh4#,2
g3=e5=f4=exf4=gxf4=Qh4#,2
e4=e5=Nf3=Bc5=Nxe5=Qh4=Nf3=Qxf2#,2
e4=e5=Qf3=d6=Bc4=Nc6=Qxf7#,2
e4=e5=Bc4=Bc5=Qf3=d6=Qxf7#,2
e4=e5=Bc4=Bc5=Qf3=Nc6=Qxf7#,2
e4=e5=Nc3=Qf6=Bb5=Bc5=Nd5=Qxf2#,2
e4=e5=Nf3=Bc5=Bc4=g5=Nxe5=Qf6=Nxf7=Qxf2#,2
g3=e5=Bg2=Bc5=b3=Qf6=Bb2=Qxf2#,2
e4=e5=Qf3=d6=Bc4=c6=Qxf7#,2
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=Bg7=Qxf7#,2
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qf3=Nc5=Qxf7#,2
f3=e5=g4=Be7=Na3=Bh4#,2
e4=e5=Qh5=g6=Qxe5+=Qe7=Qxh8=Nf6,2
e4=e5=Qf3=Bb4=Bc4=Ne7=Qxf7#,2
e4=e5=Qh5=Nc6=Bc4=g6=Qg5=Qxg5,2
e4=d5=exd5=Qxd5=Ke2=Qe4#,2
e4=e5=Qh5=g6=Qxe5+=Ne7=Qxh8=Ng8=Qxg8,2
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=d6=Qxf7#,2
e4=e5=Qh5=Nc6=Bc4=Nh6=d3=d6=Bxh6=gxh6=Qxf7#,2
e4=e5=Bc4=Nc6=Qf3=Nf6=d4=exd4=e5=Nxe5=Bb3=Nxf3+,1
e4=e5=Nf3=Nf6=d4=Nxe4=dxe5=Bc5=Be2=Nxf2=O-O=Nxd1+,1
e4=g6=Bc4=a6=Qf3=Nf6=d4=Nc6=c3=b6=Bg5=Rg8=Bxf6=exf6=e5=fxe5=Qxf7#,1
e4=e5=Qh5=Nf6=Qxe5+=Be7=Qg3=O-O=d4=d5=e5=Ne4=Qb3=c5=c4=cxd4=cxd5=Na6=e6=fxe6=dxe6=Nac5=Qb4=Bxe6=Nd2=Nxf2=Qxb7,1
Nh3=d5=Nc3=e5=Nxd5=Qxd5=Ng5=f6=Nh3=Bb4=a3=Ba5=Ng1=Qb5=Rb1=Bg4=c3=Bb6=b3=Qc5=Bb2=Qxf2#,1
e4=e5=Qh5=Nf6=Qxe5+=Qe7=Qxc7=Qd6=Qxc8+=Ke7=Qxb7=Na6,1
Nf3=e6=d4=d5=Bg5=f6=b4=fxg5,1
Nc3=d5=Nf3=Nc6=Ne5=Nf6=Nd7=Bxd7,1
e4=e5=Qf3=Nf6=d3=d5=exd5=Bg4=Qf5=Bxf5=Nf3=Nxd5=Nxe5=Nf4=Bxf4=Qe7=Be2=f6=Bh5+=g6=Bxg6+=hxg6=Nc3=fxe5=Bxe5=Qxe5+=Ne4=Qa5+,1
e4=e5=Be2=Nc6=Nf3=Bc5=O-O=Nf6=Bb5=Nxe4=Nc3=Nxf2=Rxf2=Qh4=Nd5=Qxf2+=Kh1=Kd8=d4=exd4=Nxd4=Bxd4=Qd3=Qg1#,1
g3=Nc6=Bg2=f5=Nf3=d5=Na3=e5=d3=Bxa3=bxa3=Nf6=c4=O-O=Qb3=Nd4=Nxd4=exd4=cxd5=Nxd5=Bxd5+=Kh8=Bxb7=Bxb7=Qxb7=g5=Bb2=h5=Qb4,1
e4=d5=Nc3=dxe4=Nxe4=e5=Bb5+=c6=Bc4=Qd4=d3=Bb4+=c3=Bxc3+=bxc3=Bg4=Qxg4=Qxc3+,1
g3=e5=f4=d6=Bh3=Qd7=Bxd7+=Bxd7=e3=Bc6=Nf3=e4=Nd4=Bb5=Nxb5=c6=Nxd6+=Bxd6=c3=Na6=b4=O-O-O=d4=Nf6=h4=Ng4=Qxg4+,1
