pgn,fen
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rhf1,r1b1kbnr/pppp1Npp/8/8/2BnP3/8/PPPP1PqP/RNBQKR2 b Qkq - 1 6
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rhf1 Qxe4+,r1b1kbnr/pppp1Npp/8/8/2Bnq3/8/PPPP1P1P/RNBQKR2 w Qkq - 0 7
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rhf1 Qxe4+ 7. Be2,r1b1kbnr/pppp1Npp/8/8/3nq3/8/PPPPBP1P/RNBQKR2 b Qkq - 1 7
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rhf1 Qxe4+ 7. Be2 Nf3#,r1b1kbnr/pppp1Npp/8/8/4q3/5n2/PPPPBP1P/RNBQKR2 w Qkq - 2 8
1. e4 e5 2. Bc4 Nc6 3. Nf3 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rhf1,r1b1kbnr/pppp1Npp/8/8/2BnP3/8/PPPP1PqP/RNBQKR2 b Qkq - 1 6
1. e4 e5 2. Bc4 Nc6 3. Nf3 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rhf1 Qxe4+,r1b1kbnr/pppp1Npp/8/8/2Bnq3/8/PPPP1P1P/RNBQKR2 w Qkq - 0 7
1. e4 e5 2. Bc4 Nc6 3. Nf3 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rhf1 Qxe4+ 7. Be2,r1b1kbnr/pppp1Npp/8/8/3nq3/8/PPPPBP1P/RNBQKR2 b Qkq - 1 7
1. e4 e5 2. Bc4 Nc6 3. Nf3 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rhf1 Qxe4+ 7. Be2 Nf3#,r1b1kbnr/pppp1Npp/8/8/4q3/5n2/PPPPBP1P/RNBQKR2 w Qkq - 2 8
1. d4 d5 2. c4 e5 3. dxe5 d4 4. e3 Bb4+ 5. Bd2 dxe3 6. Bxb4 exf2+ 7. Ke2 fxg1=N+ 8. Rhxg1,rnbqk1nr/ppp2ppp/8/4P3/1BP5/8/PP2K1PP/RN1Q1BR1 b kq - 0 8
1. d4 d5 2. c4 e5 3. dxe5 d4 4. e3 Bb4+ 5. Bd2 dxe3 6. Bxb4 exf2+ 7. Ke2 fxg1=N+ 8. Rhxg1 Bg4+,rn1qk1nr/ppp2ppp/8/4P3/1BP3b1/8/PP2K1PP/RN1Q1BR1 w kq - 1 9
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Bxf7+ Ke7 6. Bxg8 Qxg2 7. Rhf1,r1b2bBr/ppppk1pp/8/4N3/3nP3/8/PPPP1PqP/RNBQKR2 b Q - 1 7
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Bxf7+ Ke7 6. Bxg8 Qxg2 7. Rhf1 Qxe4+,r1b2bBr/ppppk1pp/8/4N3/3nq3/8/PPPP1P1P/RNBQKR2 w Q - 0 8
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Bxf7+ Ke7 6. Bxg8 Qxg2 7. Rhf1 Qxe4+ 8. Qe2,r1b2bBr/ppppk1pp/8/4N3/3nq3/8/PPPPQP1P/RNB1KR2 b Q - 1 8
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Bxf7+ Ke7 6. Bxg8 Qxg2 7. Rhf1 Qxe4+ 8. Qe2 Qxe2#,r1b2bBr/ppppk1pp/8/4N3/3n4/8/PPPPqP1P/RNB1KR2 w Q - 0 9
