pgn,freq
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Ke8-Bxd5-Bc5-Qf7#,11
e4-e5-Bc4-c6-Qh5-g6-Qxe5+,11
e4-e5-Nf3-d6-d4-exd4,11
e4-e5-Nf3-d6-Bc4-Bg4-d4-Bxf3-Qxf3-exd4-Qxf7#,11
e4-e5-Nf3-d6-Bc4-Bg4-Nc3-h6-Nxe5-Bxd1-Bxf7+-Ke7-Nd5#,11
e4-Nc6-Bc4-b6-Qf3-Bb7-Qxf7#,10
e4-e5-Qf3-Nc6-Bc4-Bc5-Qxf7#,10
e4-e5-Bc4-Nf6-Nf3-Nc6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Ke8-Bxd5-Nd4-Qf7#,10
e4-e5-Nf3-d6-d4-Bg4-Bc4-Bxf3-Qxf3-exd4-Qxf7#,10
e4-c5-Nf3-d6-d4-cxd4-Nxd4,10
b3-d5-Bb2-Bg4-e3-Bxd1,10
e4-e6-d4-d5-e5-c5-c3,10
e4-e5-Bc4-d6-Qh5-Be6-Bxe6-Nf6-Qxf7#,10
e4-e5-Nf3-d6-d4-exd4-Nxd4,10
g3-d5-Bg2-Bh3-Nf3-Bxg2,10
e4-e5-Nf3-d6-Bc4-h6-d4-exd4-Qxd4-Nc6-Qd5-Nf6-Qxf7#,10
e4-d5-exd5-Nf6-c4-e6-dxe6-Bxe6-d4-Bb4+-Nc3-Ne4-Bd2-Qxd4-Nf3-Qxf2#,10
d4-g6-Nc3-Bg7-Bh6-d6-Bxg7,10
g3-e5-Bg2-Qf6-b3-Bc5-Bb2-Qxf2#,10
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-Qe7-Nxf7,10
e4-c5-Nf3-Nc6-d4-cxd4-Nxd4-g6-Nxc6-bxc6-Qd4-Bg7-Qxg7,10
e4-c6-d4-d5-Nd2-dxe4-Nxe4-Nf6-Nxf6+-exf6-Bd3-Be7-Qh5-O-O-Qxh7#,10
e4-e5-Bc4-Nf6-Nf3-h6-Nxe5-d6-Nxf7,10
e4-e5-Nf3-Nc6-d4-exd4-Nxd4-Bc5-Nxc6-Qf6-e5-Qxf2#,10
e4-d5-exd5-Qxd5-Nc3-Qc4-Bxc4,10
e4-c5-d4-cxd4-c3-dxc3-Nxc3-d6-Bc4-Nf6-e5-dxe5-Bxf7+,10
e4-b6-Bc4-Bb7-Qf3-Nc6-Qxf7#,10
e4-e5-Nf3-d6-Bc4-h6-d4-Bg4-dxe5-Bxf3-Qxf3-dxe5-Qxf7#,10
e4-e5-Nf3-Bc5-Nxe5-Qh4-Qf3-d6-Qxf7+-Kd8-Qf8#,10
e4-g6-Bc4-Bg7-Qf3-c5-Qxf7#,10
e4-e5-f4-exf4-Nf3-Qh4+-Nxh4,10
e4-Nc6-d4-e5-d5-Nd4-c3,10
e4-e5-Nf3-Bc5-Nxe5-Qh4-Nf3-Qxf2#,10
e4-g6-Bc4-Bg7-Qf3-c6-Qxf7#,10
e4-b6-Bc4-Bb7-Qf3-g6-Qxf7#,9
e4-e5-Nf3-d6-Bc4-Bg4-Nc3-a6-Nxe5-Bxd1-Bxf7+-Ke7-Nd5#,9
e4-e5-Bc4-Nf6-d3-d5-exd5-Nxd5-Qf3-c6-Nc3-Nxc3-Qxf7#,9
e4-c5-Nf3-d6-d4-cxd4-Nxd4-e5-Nc3-exd4,9
e4-d5-exd5-Qxd5-Nc3-Qd8-Nf3-Nf6-Bc4-Bg4-Ne5-Bxd1-Bxf7#,9
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Na5,9
d4-d5-Nf3-e6-Bg5-c5-Bxd8,9
d4-d5-Nf3-c6-Bg5-e6-Bxd8,9
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qe2-d5-d3-Nd6-Nc6+,9
e4-d5-exd5-Nf6-d4-Bg4-c4-Bxd1,9
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qe2-d5-d3-Nf6-Nc6+,9
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Ke8-Bxd5-Qe7-Bxc6+-bxc6-Qxc6+,9
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-Rg8-Bxf7+,9
e4-e5-Nf3-Nc6-d4-exd4-Ng5-h6-Nxf7-Kxf7-Bc4+-Ke8-Qh5+-Ke7-Qf7+-Kd6-Bf4+-Ne5-Qd5+-Ke7-Qxe5#,9
e4-e5-Nf3-d6-d4-Bg4-dxe5-Bxf3-Qxf3-dxe5-Bc4-Nf6-Qb3-Nbd7-Bxf7+-Ke7-Qe6#,9
e4-d5-exd5-Qxd5-Nc3-Qa5,9
