pgn,freq
e4-e5-Nf3-Nc6-Bc4-Nd4-Nxe5-Qg5-Nxf7-Qxg2-Rf1-QxeBe2-Nf3#,46
e4-e5-Qh5-Nc6-Bc4-Nf6-Qxf7#,26
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-QfKe8-Bxd5-Nd4-Qf7#,26
e4-e5-Qh5-d6-Bc4-Nf6-Qxf7#,25
e4-e5-d4-exd4-Qxd4-Nc6-Qc3-Bb4,18
e4-e5-Bc4-Nc6-Qh5-Nf6-Qxf7#,18
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-QfKg8-Bxd5+,16
e4-e5-d4-f6-dxe5-fxe5-QhKe7-QxeKf7-BcKg6-Qf5#,14
e4-e5-Qh5-Nc6-Bc4-g6-Qf3-d6-Qxf7#,14
e4-d5-exd5-Qxd5-Nc3-Qc6-Bb5,14
e4-e5-Qh5-Nc6-Bc4-g6-Qf3-Nd4-Qxf7#,14
e4-e5-Bc4-d6-Qf3-Nc6-Qxf7#,13
e4-e5-Nf3-Nc6-Bc4-Bc5-Ng5-Qxg5,12
e4-e5-Qh5-Nc6-Bc4-g6-Qf3-Bg7-Qxf7#,11
e4-e5-Bc4-Nc6-Nf3-Nd4-Nxe5-Qg5-Nxf7-Qxg2-Rf1-QxeBe2-Nf3#,11
e4-e5-Qh5-g6-QxeNe7-Qxh8,11
e4-g6-Bc4-Bg7-Qf3-b6-Qxf7#,10
e4-e5-Nf3-f6-Nxe5-fxe5-QhKe7-QxeKf7-BcKg6-QfKh6-dg5-h4-Be7-hxgKg7-Qf7#,10
d4-d5-c4-dxc4-e3-b5-a4-c6-axb5-cxb5-Qf3-QaRxa5,10
d4-Nf6-c4-e5-dxe5-Ng4-Nf3-Nc6-Bf4-BbNbd2-Qe7-a3-Ngxe5-axb4-Nd3#,9
d4-b6-e4-Bb7-Ba6-Bxa6,9
d4-d5-c4-e5-dxe5-d4-e3-BbBd2-dxe3-Bxb4-exfKe2-fxg1=N+-Rxg1-Bg4+,9
e4-c6-d4-d5-Nc3-dxe4-Nxe4-Nd7-Qe2-Ngf6-Nd6#,8
e4-e5-Nf3-d6-d4-Bg4-dxe5-Bxf3-Qxf3-dxe5-Bc4-Nf6-Qb3-b6-BxfKe7-Qe6#,8
e4-e5-Bc4-d6-Qh5-Nf6-Qxf7#,8
d4-e5-dxe5-Nc6-Nf3-Qe7-Bf4-QbBd2-Qxb2-Bc3-Bb4-Qd2-Bxc3-Qxc3-Qc1#,8
e4-e5-Nf3-d6-Bc4-h6-Nc3-Bg4-Nxe5-Bxd1-BxfKe7-Nd5#,8
g3-e5-f4-exf4-gxf4-Qh4#,7
e4-e5-Qh5-d6-Bc4-g6-Qf3-Nc6-Qxf7#,7
e4-g6-Bc4-Bg7-Qf3-e6,7
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qe2-Nf6-Nc6+,7
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-h6-Nxf7,7
e4-e5-Nf3-d6-d4-Bg4-dxe5-Bxf3-Qxf3-dxe5-Bc4-Nf6-Qb3-b6-BxfKd7-Qe6#,7
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-QfKg8-BxdQxd5-QxdBe6-Qxe6#,7
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-QfKg8-BxdBe6-Bxe6#,7
e3-b6-Qf3-Nc6-Bc4-Bb7-Qxf7#,7
e4-b6-Bc4-Bb7-Qf3-g6-Qxf7#,7
d4-f5-Bg5-h6-Bh4-g5-Bg3-f4-e3-fxg3-Qh5#,6
e4-e5-Nf3-d6-Bc4-Bg4-Nc3-Nc6-Nxe5-Bxd1-BxfKe7-Nd5#,6
e4-d5-Nf3-dxe4-Ne5-f6-Qhg6-Nxg6,6
e4-e5-Nf3-d6-d4-Bg4-dxe5-Bxf3-Qxf3-dxe5-Bc4-Nf6-Qb3-Qd7-Qxb7-Qc6-Bb5,6
e4-e5-Nf3-Nc6-d4-exd4-Nxd4,6
e4-e5-Bc4-Nc6-Qf3-Nd4-Qxf7#,6
b3-d5-Bb2-Bg4-e3-Bxd1,6
e4-e5-Bc4-d6-Qf3-h6-Qxf7#,6
e4-e5-Bc4-Bc5-Qh5-Nf6-Qxf7#,6
