pgn,freq
e4=e5=Nf3=Nc6=Bb5=Nf6=O-O=Nxe4=d4=Nd6=dxe5=Nxb5=a4=Nbd4=Nxd4=Nxd4=Qxd4=d5=exd6=Qxd6=Qe4+=Qe6=Qd4=Qd6=Qe4+=Qe6=Qd4=Qd6,209
b3=d5=Bb2=Bg4=e3=Bxd1,184
e4=c5=Nf3=e6=d4=cxd4=Bg5=a6=Bxd8,177
d4=Nf6=Bf4=c5=e3=Qb6=Nc3=Qxb2=Nb5=Nd5=Rb1=Qxa2=Ra1=Qb2=Rb1=Qa2=Ra1=Qb2=Rb1=Qa2,158
e4=c5=Nf3=Nc6=d4=cxd4=Nxd4=e5=Nc3=exd4,134
e4=c5=Nf3=d6=d4=cxd4=Nxd4=e5=Nc3=exd4,132
e4=c5=Nf3=e6=d4=cxd4=Bg5=Nc6=Bxd8,118
e4=e5=Nf3=Nc6=Bb5=a6=Ba4=Nf6=O-O=Be7=Re1=b5=Bb3=d6=c3=O-O=h3=Bb7=d4=Re8=Ng5=Rf8=Nf3=Re8=Ng5=Rf8=Nf3,86
e4=e5=Nf3=Nc6=Bc4=Bc5=c3=Nf6=d4=exd4=cxd4=Bb4+=Bd2=Bxd2+=Nbxd2=d5=exd5=Nxd5=Qb3=Na5=Qa4+=Nc6=Qb3=Na5=Qa4+=Nc6=Qb3,76
e4=c5=Nf3=d6=Bb5+=Qd7=Bxd7+,74
e4=d5=exd5=Nf6=d4=Bg4=c4=Bxd1,73
d4=Nf6=c4=e6=Nc3=d5=cxd5=Nxd5=Bg5=Qxg5,70
e4=c5=Nf3=d6=d4=cxd4=Nxd4=Nf6=Nc3=g6=f4=Bg7=e5=dxe5=fxe5=Ng4=Bb5+=Kf8=Ne6+,70
d4=d5=c4=e6=Nc3=Nf6=cxd5=Nxd5=Bg5=Qxg5,70
e4=e5=Nf3=Nc6=Bb5=a6=Bxc6=dxc6=O-O=f6=d4=exd4=Nxd4=Bc5=Qh5+,69
e4=c6=d4=d5=Nc3=dxe4=Nxe4=Nf6=Nxf6+=exf6=Bd3=Bd6=Qh5=O-O=Qxh7#,66
e4=e5=Nf3=d5=Bc4=dxc4,64
d4=d5=c4=dxc4=e3=Be6=Nf3=c6=Ng5=Qa5+,62
e4=e5=Nf3=Nc6=Bb5=Nf6=O-O=Nxe4=d4=Nd6=dxe5=Nxb5=a4=Nbd4=Nxd4=d5=exd6=Nxd4=Qxd4=Qxd6=Qe4+=Qe6=Qd4=Qd6=Qe4+=Qe6=Qd4=Qd6,62
e4=c5=Nf3=d6=d4=cxd4=Nxd4=Nf6=Nc3=a6=Be3=Ng4=Bc1=Nf6=Be3=Ng4=Bc1=Nf6,60
e4=c5=Nf3=Nc6=d4=cxd4=Nxd4=Nf6=Nc3=e5=Ndb5=d6=Nd5=a6=Nbc7+,59
e4=e5=Nf3=f5=exf5=Bc5=Nxe5=Bxf2+=Kxf2=Qh4+=Kg1=Qd4#,59
e4=e5=Nf3=Nc6=Bc4=Nd4=Nxe5=Qg5=Nxf7=Qxg2=Rf1=Qxe4+=Be2=Nf3#,58
e4=Nf6=e5=Nd5=d4=d6=Nf3=dxe5=Nxe5=Nd7=Nxf7=Kxf7=Qh5+=Ke6=Qe2+=Kf7=Qh5+=Ke6=Qe2+=Kf7=Qh5+,56
d4=Nf6=Bf4=c5=e3=Qb6=Na3=Qxb2=Nb5=Nd5=Rb1=Qxa2=Ra1=Qb2=Rb1=Qa2=Ra1=Qb2=Rb1=Qa2,56
e4=c6=d4=d5=e5=Bf5=h4=e6=g4,55
e4=c5=Nf3=Nc6=d4=cxd4=Nxd4=Nf6=Nc3=e5=Ndb5=d6=Bg5=a6=Na3=b5=Nd5=Qa5+=Bd2=Qd8=Bg5=Qa5+=Bd2=Qd8=Bg5,54
e4=c5=c3=d6=d4=Nf6=dxc5=Nxe4=Qa4+,53
e4=e6=d4=d5=Nc3=Nf6=Bg5=Nfd7=Bxd8,52
e4=c5=Nf3=Nc6=d4=cxd4=Nxd4=e5=Nc3=Nxd4,52
e4=e6=Nf3=d5=Nc3=Nf6=e5=Nfd7=d4=c5=Bg5=Nc6=Bxd8,50
e4=e6=d4=d5=Bd3=c5=exd5=Qxd5=Nc3=Qxg2=Be4,50
e4=c6=Nf3=d5=e5=Bg4=c3=e6=Be2=c5=Qa4+,50
e4=e6=d4=d5=Nc3=Nf6=e5=Nfd7=Nf3=c5=Bg5=Nc6=Bxd8,49
d4=Nf6=c4=e6=g3=d5=Bg2=Bb4+=Nd2=dxc4=Qa4+,48
e4=c5=Nf3=Nc6=d4=cxd4=Nxd4=Nf6=Nxc6=e5=Nxd8,47
d4=Nf6=Nc3=e6=e4=d5=Bg5=Nfd7=Bxd8,47
e4=c6=d4=d5=Nc3=dxe4=Nxe4=Nd7=Qe2=Ngf6=Nd6#,47
d4=d5=c4=dxc4=Nf3=c6=e3=Be6=Ng5=Qa5+,46
e4=e5=Nf3=d6=Bc4=Bg4=Nc3=h6=Nxe5=Bxd1=Bxf7+=Ke7=Nd5#,43
e4=c5=Nf3=g6=d4=cxd4=Qxd4=Bg7=Qxg7,43
d4=Nf6=Bf4=e6=e3=b6=Qf3=Bb7=Qxb7,42
e4=Nf6=e5=Nd5=d4=d6=c4=Ne3=exd6=Nxd1,42
e4=c5=Nf3=d6=Nd4=cxd4,42
d4=d5=c4=e6=Nc3=c5=cxd5=cxd4=Nf3=dxc3,41
e4=e6=d4=d5=Nd2=c5=Ngf3=cxd4=exd5=Nc6=dxc6,39
e4=g6=d4=Bg7=Bh6=Nxh6,38
e4=d5=exd5=Qxd5=Nc3=Qa5=b4=Nf6=bxa5,38
d4=e5=dxe5=Nc6=Nf3=Qe7=Bf4=Qb4+=Bd2=Qxb2=Bc3=Bb4=Qd2=Bxc3=Qxc3=Qc1#,37
e4=c5=Nf3=Nc6=d4=cxd4=Nxd4=e5=Nc3,37
Nf3=d5=g3=Bh3=Bg2=Bxg2,36
d4=Nf6=Bf4=c5=e3=Qb6=Nc3=Qxb2=Nb5=Nd5=Rb1=Qxa2=Ra1=Qb2=Rb1=Qa2=Ra1=Qb2=Rb1=Qa2=Ra1,35
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Na5=Bb5+=c6=dxc6=bxc6=Bd3=Nd5=h4=h6=Qh5=Qf6=Ne4=Qe6=Ng5=Qf6=Ne4=Qe6=Ng5=Qf6,35
e4=c6=Nf3=d5=e5=Bg4=c4=e6=cxd5=cxd5=Qa4+,33
e4=c5=Nf3=d6=d4=cxd4=Nxd4=Nf6=Nc3=a6,33
e4=c5=Nc3=d6=d4=cxd4=Qxd4=Nc6=Qd2=g6=b3=Bh6=Bb2=Bxd2+,33
e4=e5=Nf3=Nc6=Bb5=a6=Bxc6=dxc6=Nc3=f6=d4=exd4=Nxd4=Bc5=Qh5+,33
e4=e5=Nf3=Nc6=Bb5=Nf6=O-O=Nxe4=d4=Nd6=dxe5=Nxb5=a4=Nbd4=Nxd4=Nxd4=Qxd4=d5=exd6=Qxd6=Qe4+=Qe6=Qd4=Qd6=Qe4+=Qe6=Qd4=Qd6=Qe4+,33
d4=Nf6=Nf3=e6=Bg5=Ne4=Bxd8,33
b3=Nf6=Bb2=g6=Bxf6=Bg7=Bxg7,32
e4=d6=d4=Bg4=Qxg4=Qc8=Qxc8#,32
d4=d5=Bf4=Nf6=e3=c5=Nc3=Nc6=Nb5,32
e4=g6=d4=Bg7=Bh6=d6=Bxg7,31
e4=c6=Nc3=d5=Nf3=dxe4=Nxe4=Nf6=Qe2=Nbd7=Nd6#,30
d4=Nf6=Nf3=c5=Bf4=cxd4=Nxd4=e5,30
e4=e5=Bc4=Nc6=Qh5=Nf6=Qxf7#,30
d4=e6=Nf3=b6=Bg5=Bb7=Bxd8,30
e4=Nf6=e5=Nd5=c4=Ne3=d4=Nxd1,29
e4=c5=Nf3=d6=d4=cxd4,29
e4=c5=Nf3=d6=d4=c4=Bxc4,28
e4=e5=Nf3=Nf6=Nxe5=d6=Nxf7=Nxe4=Nxd8,28
e4=c5=Nf3=d6=d4=cxd4=Nxd4,28
e4=c5=Nf3=d6=d4=cxd4=Nxd4=Nf6,28
d4=Nf6=Nf3=g6=Bh6=Bxh6,28
e4=e5=Nf3=Nc6=Bc4=Bc5=O-O=Nf6=Nc3=O-O=d3=h6=Na4=Be7=Nc3=Bc5=Na4=Be7=Nc3=Bc5,27
e4=e5=Nf3=Nf6=d4=Nxe4=Bd3=d5=Nxe5=Nd7=Nxf7=Kxf7=Qh5+=Ke7=Qe2=Kf7=Qh5+=Ke7=Qe2=Kf7=Qh5+,27
e4=e5=Bc4=Nf6=d4=exd4=Nf3=Nxe4=Qxd4=Nd6=O-O=Nxc4=Re1+=Be7=Qxg7=Rf8=Bh6,27
e4=g6=d4=Bg7=Bh6=Bxh6,27
d4=Nf6=c4=e5=dxe5=Ng4=Bf4=Bc5=e3=Nc6=Qxg4,27
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nd4=d6=Qxd6=Nxf7=Qc6=Nxh8=Qxg2=Rf1=Qe4+=Be2=Nf3#,27
e3=Nf6=Ne2=g6=d4=Bg7=h4=O-O=h5=Nxh5=Rxh5=gxh5=Nf4=e5=Nxh5=exd4=Qg4,26
e4=c6=c4=d5=cxd5=cxd5=exd5=Nf6=Qa4+=Qd7=Bb5,26
e4=c5=Nf3=Nf6=Nc3=Nc6=d4=d5=exd5=Nxd5=Bb5=Nxc3=bxc3=cxd4=cxd4=Qa5+,26
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qe2=Qe7=Qxe4=d6=d4=dxe5=dxe5=Nc6=Bf4=g5=Bg3=f5,25
e4=e5=Nf3=Nf6=Nxe5=d6=Nf3=Nxe4=c3=Be7=Qa4+,25
e4=e5=Nf3=Nc6=Bc4=Bc5=O-O=Nf6=Re1=Ng4=Rf1=Nf6=Re1=Ng4=Rf1=Nf6,25
e4=e5=Bc4=Nf6=d4=Nxe4=dxe5=d5=Bxd5=Nc5=Bxf7+,25
d4=Nf6=Bg5=Ne4=Bf4=d5=e3=c6=Bd3=Bf5=f3=Nd6=Bxd6=Bxd3=Bxb8,25
d4=Nf6=Nf3=c5=d5=b5=e4=Nxe4=Bxb5=Qa5+,25
e4=c5=Nf3=d6=d4=cxd4=e5=Nf6=exf6,24
e4=c6=Nc3=d5=Qe2=dxe4=Nxe4=Nd7=Nd6#,24
e4=c5=Nf3=Nf6=d4=Nxe4,24
e4=c6=d4=d5=Nc3=dxe4=Nxe4=Nf6=Nxf6+=exf6=Bc4=Qe7+=Ne2=Qb4+,24
e4=c5=Nf3=Nc6=d4=cxd4=Nxd4=Nf6=Nc3=e5=Nxc6=d6=Nxd8,24
e4=e5=Nf3=Nc6=Bc4=Nf6=d3=Be7=c3=d5=exd5=Nxd5=Qb3=O-O=Bxd5=Na5=Bxf7+=Rxf7=Qb5=c6=Qxe5=Qxd3=Qxa5=Bg4=Be3=Rxf3=Qa4=Rxe3+=fxe3=Qe2#,23
e4=e5=Nf3=Nc6=Bc4=Bc5=c3=Nf6=d4=exd4=cxd4=Bb4+=Nc3=Nxe4=O-O=Nxc3=bxc3=Bxc3=Ba3=Bxa1=Re1+=Ne7=Rxe7+=Kf8=Rxf7+=Kg8=Rf8#,23
